id,name,price,trim,submodel
id,name,price,trim,submodel
401722513,6.2L V8 Supercharger 8-speed Automatic,"$83,295",SRT Demon,srt-demon
200741087,1.5L 3-cyl. Turbo 6-speed Manual,"$24,100",Base,hatchback
401613297,2.0L 4-cyl. Turbo 6-speed Manual,"$27,650",S,hatchback
200705425,0.9L 3-cyl. Turbo 5-speed Manual,"$14,650",pure,hatchback
401581301,0.9L 3-cyl. Turbo 5-speed Manual,"$16,140",passion,hatchback
401581302,0.9L 3-cyl. Turbo 5-speed Manual,"$17,490",prime,hatchback
401581303,0.9L 3-cyl. Turbo 5-speed Manual,"$18,480",proxy,hatchback
401612066,0-cyl. Electric 1-speed Direct Drive,"$25,000",electric drive coupe,hatchback
401700928,0.9L 3-cyl. Turbo 5-speed Manual,"$14,650",pure,hatchback
401700925,0.9L 3-cyl. Turbo 5-speed Manual,"$16,140",passion,hatchback
401700927,0.9L 3-cyl. Turbo 5-speed Manual,"$17,490",prime,hatchback
401700926,0.9L 3-cyl. Turbo 5-speed Manual,"$18,480",proxy,hatchback
401700929,0.9L 3-cyl. Turbo 5-speed Manual,"$18,900",passion,convertible
401700931,0.9L 3-cyl. Turbo 5-speed Manual,"$19,900",prime,convertible
401700930,0.9L 3-cyl. Turbo 5-speed Manual,"$20,900",proxy,convertible
401612066,0-cyl. Electric 1-speed Direct Drive,"$25,000",electric drive coupe,electric
401626238,4.8L V8 FFV 6-speed Automatic,"$30,595",2500,van
401626241,4.8L V8 FFV 6-speed Automatic,"$32,455",2500,van
401626239,4.8L V8 FFV 6-speed Automatic,"$33,915",3500,van
401626240,4.8L V8 FFV 6-speed Automatic,"$34,800",3500,van
401626242,6.6L V8 Turbo Diesel 6-speed Automatic,"$42,540",2500,van
401626243,6.6L V8 Turbo Diesel 6-speed Automatic,"$44,400",2500,van
401626236,6.6L V8 Turbo Diesel 6-speed Automatic,"$45,860",3500,van
401626237,6.6L V8 Turbo Diesel 6-speed Automatic,"$46,745",3500,van
200738445,2.0L 4-cyl. 6-speed Manual,"$16,995",SE,sedan
401646802,2.0L 4-cyl. 6-speed Manual,"$17,995",SXT Sport,sedan
401646803,2.0L 4-cyl. 6-speed Manual,"$18,995",SXT Sport Rallye,sedan
200738448,2.4L 4-cyl. 6-speed Manual,"$19,395",SXT,sedan
401646805,1.4L 4-cyl. Turbo 6-speed Manual,"$19,495",Turbo,sedan
401646804,2.0L 4-cyl. 6-speed Manual,"$19,595",SXT Sport Blacktop,sedan
401646806,2.4L 4-cyl. 6-speed Manual,"$20,995",GT Sport,sedan
200738446,1.4L 4-cyl. Turbo 6-speed Manual,"$21,095",Aero,sedan
401646807,2.4L 4-cyl. 6-speed Manual,"$21,595",GT Sport Blacktop,sedan
200738449,2.4L 4-cyl. 6-speed Manual,"$22,095",GT,sedan
200738447,2.4L 4-cyl. 6-speed Automatic,"$24,395",Limited,sedan
200741344,2.4L 4-cyl. 4-speed Automatic,"$20,995",SE,suv
200741373,2.4L 4-cyl. 4-speed Automatic,"$24,895",SXT,suv
200741352,2.4L 4-cyl. 4-speed Automatic,"$26,295",Crossroad,suv
200741348,3.6L V6 AWD 6-speed Automatic,"$26,595",SE,suv
200741353,2.4L 4-cyl. 4-speed Automatic,"$27,395",Crossroad Plus,suv
200741374,3.6L V6 AWD 6-speed Automatic,"$28,395",SXT,suv
200741354,3.6L V6 AWD 6-speed Automatic,"$29,795",Crossroad,suv
200743585,3.6L V6 AWD 6-speed Automatic,"$30,895",Crossroad Plus,suv
200741375,3.6L V6 FFV 6-speed Automatic,"$31,795",R/T,suv
200741376,3.6L V6 AWD 6-speed Automatic,"$33,695",R/T,suv
401705250,4.8L V8 FFV 6-speed Automatic,"$30,745",2500,van
401705251,4.8L V8 FFV 6-speed Automatic,"$32,605",2500,van
401705252,4.8L V8 FFV 6-speed Automatic,"$34,065",3500,van
401705253,4.8L V8 FFV 6-speed Automatic,"$34,950",3500,van
401654883,2.4L 4-cyl. 4-speed Automatic,"$21,195",SE,suv
401654890,2.4L 4-cyl. 4-speed Automatic,"$25,495",SXT,suv
401654885,3.6L V6 AWD 6-speed Automatic,"$26,795",SE,suv
401654886,2.4L 4-cyl. 4-speed Automatic,"$26,995",Crossroad,suv
401654888,2.4L 4-cyl. 4-speed Automatic,"$27,745",Crossroad Plus,suv
401654892,3.6L V6 AWD 6-speed Automatic,"$28,995",SXT,suv
401654889,3.6L V6 AWD 6-speed Automatic,"$30,495",Crossroad,suv
401654884,3.6L V6 AWD 6-speed Automatic,"$31,245",Crossroad Plus,suv
401654891,3.6L V6 FFV 6-speed Automatic,"$31,995",GT,suv
401654887,3.6L V6 AWD 6-speed Automatic,"$33,895",GT,suv
200782176,3.6L V6 8-speed Automatic,"$26,995",SXT,coupe
200782179,3.6L V6 8-speed Automatic,"$29,995",SXT Plus,coupe
200782180,5.7L V8 6-speed Manual,"$31,995",R/T,coupe
200782184,5.7L V8 6-speed Manual,"$34,995",R/T Plus,coupe
200782183,5.7L V8 6-speed Manual,"$35,995",R/T Shaker,coupe
200782265,6.4L V8 6-speed Manual,"$37,995",R/T Scat Pack,coupe
